model,mean_rmse,median_rmse,mean_mae,median_mae
W03 only,20.543345366505807,19.570325453547127,17.715258354103156,17.294891638611038
Both W03 and E01,21.109007393301376,19.581301912757635,18.33530086836158,17.320086101265222
E01 only,21.418413707628986,19.87375795117267,18.563158273052608,17.560478916238132
